Price,Address,City,State,Postal,Floor Size,Longitude,Latitude,URL
"$800,000",3218 Lakeridge Dr SE,Marietta,GA,30067,2876,33.925262,-84.45693,https://www.zillow.com/homedetails/3218-Lakeridge-Dr-SE-Marietta-GA-30067/14319216_zpid/
"$289,900",45 Ladora Dr,Dallas,GA,30157,1436,33.853233,-84.85042,https://www.zillow.com/homedetails/45-Ladora-Dr-Dallas-GA-30157/237734664_zpid/
"$279,900",1486 Blanche Dr,Marietta,GA,30067,1121,33.945156,-84.50817,https://www.zillow.com/homedetails/1486-Blanche-Dr-Marietta-GA-30067/14283121_zpid/
"$333,800",779 Nicholas Ct,Monroe,GA,30655,2044,33.772205,-83.73072,https://www.zillow.com/homedetails/779-Nicholas-Ct-Monroe-GA-30655/49904410_zpid/
"$1,225,000",685 Buttercup Trce,Johns Creek,GA,30022,5812,34.02504,-84.21565,https://www.zillow.com/homedetails/685-Buttercup-Trce-Johns-Creek-GA-30022/14654321_zpid/
"$89,900",168 Stiles Dr,La Fayette,GA,30728,2108,34.614243,-85.28171,https://www.zillow.com/homedetails/168-Stiles-Dr-La-Fayette-GA-30728/54065765_zpid/
"$250,000",1607 Swint Rd,Griffin,GA,30224,1680,33.18344,-84.16246,https://www.zillow.com/homedetails/1607-Swint-Rd-Griffin-GA-30224/69894970_zpid/
"$319,000",578 Manning Rd,Powder Springs,GA,30064,1286,33.946796,-84.58154,https://www.zillow.com/homedetails/578-Manning-Rd-Powder-Springs-GA-30064/14393657_zpid/
"$385,000",2526 Centennial Commons Vw NW,Acworth,GA,30102,1414,34.081554,-84.62098,https://www.zillow.com/homedetails/2526-Centennial-Commons-Vw-NW-Acworth-GA-30102/65257315_zpid/
"$535,000",4474 Orchard Trce,Roswell,GA,30076,1750,34.075855,-84.35849,https://www.zillow.com/homedetails/4474-Orchard-Trce-Roswell-GA-30076/55021229_zpid/
"$650,000",2340 Birmingham Rd,Milton,GA,30004,2418,34.16555,-84.292046,https://www.zillow.com/homedetails/2340-Birmingham-Rd-Milton-GA-30004/55022568_zpid/
"$299,900",3417 Wren Rd,Decatur,GA,30032,1623,33.759098,-84.249886,https://www.zillow.com/homedetails/3417-Wren-Rd-Decatur-GA-30032/14473074_zpid/
"$179,900",2924 Jay Bridge Rd,Dahlonega,GA,30533,1800,34.548138,-84.087975,https://www.zillow.com/homedetails/2924-Jay-Bridge-Rd-Dahlonega-GA-30533/105323092_zpid/
"$800,000",12601 Crabapple Rd,Milton,GA,30004,2876,34.08848,-84.34616,https://www.zillow.com/homedetails/12601-Crabapple-Rd-Milton-GA-30004/249124697_zpid/
"$380,000",1110 Faith Ave SE,Atlanta,GA,30316,1328,33.74363,-84.35129,https://www.zillow.com/homedetails/1110-Faith-Ave-SE-Atlanta-GA-30316/35836376_zpid/
"$239,900",195 Marbrook Trce,Oxford,GA,30054,1836,33.699944,-83.899086,https://www.zillow.com/homedetails/195-Marbrook-Trce-Oxford-GA-30054/71125841_zpid/
"$525,000",3288 Twinrose Pl,Milton,GA,30004,2350,34.098965,-84.26329,https://www.zillow.com/homedetails/3288-Twinrose-Pl-Milton-GA-30004/97984497_zpid/
"$1,350,000",459 Couch Rd,Dawsonville,GA,30534,1680,34.363365,-84.02679,https://www.zillow.com/homedetails/459-Couch-Rd-Dawsonville-GA-30534/68627123_zpid/
"$150,000",3049 Salem Rd SE,Conyers,GA,30013,1677,33.60841,-83.973854,https://www.zillow.com/homedetails/3049-Salem-Rd-SE-Conyers-GA-30013/15008633_zpid/
"$640,000",705 Anna Ln,Alpharetta,GA,30004,2596,34.0778,-84.34193,https://www.zillow.com/homedetails/705-Anna-Ln-Alpharetta-GA-30004/65439877_zpid/
"$350,000",2746 Park Land Ln,Snellville,GA,30078,1918,33.857674,-83.98117,https://www.zillow.com/homedetails/2746-Park-Land-Ln-Snellville-GA-30078/331570086_zpid/
"$675,000",4305 Gavira Ct,Cumming,GA,30040,4996,34.235855,-84.235466,https://www.zillow.com/homedetails/4305-Gavira-Ct-Cumming-GA-30040/97985299_zpid/
"$385,000",4083 Lake Manor Way,Atlanta,GA,30349,2369,33.650658,-84.52572,https://www.zillow.com/homedetails/4083-Lake-Manor-Way-Atlanta-GA-30349/171601609_zpid/
